"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Approximately Optimal Teaching of Approximately Optimal Learners","J. Whitehill; J. Movellan","Worcester Polytechnic Institute, Worcester, MA, US; University of California San Diego, La Jolla, CA, US","IEEE Transactions on Learning Technologies","19 Jun 2018","2018","11","2","152","164","We propose a method of generating teaching policies for use in intelligent tutoring systems (ITS) for concept learning tasks [1] , e.g., teaching students the meanings of words by showing images that exemplify their meanings la Rosetta Stone [2] and Duo Lingo [3] . The approach is grounded in control theory and capitalizes on recent work by [4]  , [5] that frames the teaching problem as that of finding approximately optimal teaching policies for approximately optimal learners (AOTAOL). Our work expands on [4] , [5] in several ways: (1) We develop a novel student model in which the teacher's actions can partially  eliminate hypotheses about the curriculum. (2) With our student model, inference can be conducted  analytically rather than numerically, thus allowing computationally efficient planning to optimize learning. (3) We develop a reinforcement learning-based hierarchical control technique that allows the teaching policy to search through deeper learning trajectories. We demonstrate our approach in a novel ITS for foreign language learning similar to Rosetta Stone and show that the automatically generated AOTAOL teaching policy performs favorably compared to two hand-crafted teaching policies.","1939-1382","","10.1109/TLT.2017.2692761","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7895197","Intelligent tutoring systems;stochastic optimal control;partially observable Markov decision processes","Education;Computational modeling;Numerical models;Optimal control;Analytical models;Stochastic processes;Vocabulary","","13","","43","IEEE","12 Apr 2017","","","IEEE","IEEE Journals"
"Deep Abstraction and Weighted Feature Selection for Wi-Fi Impersonation Detection","M. E. Aminanto; R. Choi; H. C. Tanuwidjaja; P. D. Yoo; K. Kim","School of Computing, Korea Advanced Institute of Science and Technology, Daejeon, South Korea; School of Computing, Korea Advanced Institute of Science and Technology, Daejeon, South Korea; School of Computing, Korea Advanced Institute of Science and Technology, Daejeon, South Korea; Centre for Electronic Warfare, Information and Cyber, Cranfield Defence and Security, Defence Academy of the United Kingdom, Shrivenham, U.K.; School of Computing, Korea Advanced Institute of Science and Technology, Daejeon, South Korea","IEEE Transactions on Information Forensics and Security","18 Dec 2017","2018","13","3","621","636","The recent advances in mobile technologies have resulted in Internet of Things (IoT)-enabled devices becoming more pervasive and integrated into our daily lives. The security challenges that need to be overcome mainly stem from the open nature of a wireless medium, such as a Wi-Fi network. An impersonation attack is an attack in which an adversary is disguised as a legitimate party in a system or communications protocol. The connected devices are pervasive, generating high-dimensional data on a large scale, which complicates simultaneous detections. Feature learning, however, can circumvent the potential problems that could be caused by the large-volume nature of network data. This paper thus proposes a novel deep-feature extraction and selection (D-FES), which combines stacked feature extraction and weighted feature selection. The stacked autoencoding is capable of providing representations that are more meaningful by reconstructing the relevant information from its raw inputs. We then combine this with modified weighted feature selection inspired by an existing shallow-structured machine learner. We finally demonstrate the ability of the condensed set of features to reduce the bias of a machine learner model as well as the computational complexity. Our experimental results on a well-referenced Wi-Fi network benchmark data set, namely, the Aegean Wi-Fi Intrusion data set, prove the usefulness and the utility of the proposed D-FES by achieving a detection accuracy of 99.918% and a false alarm rate of 0.012%, which is the most accurate detection of impersonation attacks reported in the literature.","1556-6021","","10.1109/TIFS.2017.2762828","Institute for Information & communications Technology Promotion through the Korea Government (MSIT) (Research on Communication Technology using Bio-Inspired Algorithm and 2017-0-00555, Towards Provable-secure Multi-party Authenticated Key Exchange Protocol based on Lattices in a Quantum World)(grant numbers:2013-0-00396); National Research Foundation of Korea through the Korea Government (MSIT)(grant numbers:NRF-2015R1A-2A2A01006812); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8067440","Intrusion detection system;impersonation attack;deep learning;feature extraction;stacked autoencoder;large-scale Wi-Fi networks","Feature extraction;Wireless fidelity;Support vector machines;Wireless networks;Computational modeling;Security;Machine learning","","145","","71","IEEE","13 Oct 2017","","","IEEE","IEEE Journals"
"Platform for industrial internet and digital twin focused education, research, and innovation: Ilmatar the overhead crane","J. Autiosalo","Department of Mechanical Engineering, Aalto University School of Engineering, Espoo, Finland","2018 IEEE 4th World Forum on Internet of Things (WF-IoT)","7 May 2018","2018","","","241","244","The paper presents first experiences on an overhead crane platform targeted for university education, research, and innovation purposes. The main contributions feature a description of projects from the first year after the inauguration of the crane platform. To provide a basic perception on the potential of the platform, the paper presents the basic technical properties as well as opportunities and challenges of the crane platform. Digital Twin concept has been selected as a focus of the research activities on the platform. Hence, the paper reviews status of the term Digital Twin. Results describe experience-based observations on how university should manage an education, research, and innovation platform while collaborating with industry partners.","","978-1-4673-9944-9","10.1109/WF-IoT.2018.8355217","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8355217","Digitalization;Internet of Things;Cyber-Physical Systems;mechatronics;mechanical engineering;laboratory","Cranes;Industries;Education;Software;Technological innovation;Internet;Virtual reality","","27","","15","IEEE","7 May 2018","","","IEEE","IEEE Conferences"
"To context-aware learner modeling based on ontology","L. Akharraz; A. El Mezouary; Z. Mahani","IRF-SIC Laboratory, IBN ZOHR University, Agadir, Morocco; IRF-SIC Laboratory, IBN ZOHR University, Agadir, Morocco; LASIME Laboratory, IBN ZOHR University, Agadir, Morocco","2018 IEEE Global Engineering Education Conference (EDUCON)","24 May 2018","2018","","","1326","1334","One of the main motivations for better learner modeling is to make distance learning system intelligent so that they can present adaptive learning content to each learner according to his needs. This aspect of intelligence is mainly ensured by the exploitation of the learner model. However, the multiplicity of information about the learner makes their modeling a very complex activity and constitutes an open line of research, which has given rise to several proposals from different points of view. In this trend, this paper presents a new context-aware learner modeling approach enriched from existing models and based on the exploitation of ontology.","2165-9567","978-1-5386-2957-4","10.1109/EDUCON.2018.8363383","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363383","learner model;distance learning system;ontology;learner modeling;learning context","Ontologies;Adaptation models;Context modeling;Computer aided instruction;Standards;Computational modeling;Lips","","8","","42","IEEE","24 May 2018","","","IEEE","IEEE Conferences"
"LifeOn, a ubiquitous lifelong learner model ontology supporting adaptive learning","D. Nurjanah","School of Computing, Telkom University, Bandung, Indonesia","2018 IEEE Global Engineering Education Conference (EDUCON)","24 May 2018","2018","","","866","871","One of the challenges in adaptive learning systems is to manage learner models that include learners' profiles and activities and interaction between learners and the learning tools. In the context of lifelong learning, the learner model is a user learning pattern, which can be modelled all the time based on user interaction with various sources. The main issue in lifelong learner model design is what type of information needs to be stored in the learner model and how the information granularity is involved. The type and level of information granularity of a user will determine how appropriate the pedagogical policies are to be provided by the system for a user. Lifelong learner model design should be in line with the principles of lifelong learning, namely sociality, interoperability, and scrutability. This paper discusses our research on learner model ontology for lifelong learning. The goal expected to be achieved is that there is a lifelong learner model ontology to be accessed and updated by adaptive learning systems. This research classifies learners' attributes into two groups, which are static and dynamic attributes. Static attributes tend not to change or very rarely change. They include learner's profile, special needs, aptitude, preference, learning approach, learning style, personality, and cognitive capability. On the other hand, dynamic attributes include learning history and study plan. Through conducting some experiments, it can be concluded that LifeOn supports ubiquitous and lifelong learning, and can be used in adaptive learning systems with various learner models.","2165-9567","978-1-5386-2957-4","10.1109/EDUCON.2018.8363321","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363321","LifeOn;ontology;learner model;adaptive learning;ubiquitous learning lifelong learning","Adaptation models;Ontologies;Adaptive learning;Data models;Learning systems;Computational modeling;Interoperability","","8","","15","IEEE","24 May 2018","","","IEEE","IEEE Conferences"
"Modular augmented reality platform for smart operator in production environment","J. Um; J. Popper; M. Ruskowski","Technologie-Initative SmartFactory KL, Kaiserslautern, Germany; Technologie-Initative SmartFactory KL, Kaiserslautern, Germany; IFS-Innovative Fabriksysteme, Deutsches Forschungszentrum für Künstliche Intelligenz, Kaiserslautern, Germany","2018 IEEE Industrial Cyber-Physical Systems (ICPS)","21 Jun 2018","2018","","","720","725","The trend of mass customization requires highly flexible production systems, which pose a new challenge for workers. Numerous concepts using augmented reality technologies have been developed to offer support in manual assembly processes. Newer AR devices are equipped with more and more functions, such as microphones, speakers or multiple camera systems, which can be used to help workers. However, wearable devices offer only limited computational power and limited flexibility of their interface platform. This poses a challenge to heavy data transactions from various different sources and restrict the use for real-time responses, which are often necessary for applications in a factory. To overcome this limitation, the author of this paper proposes a combination of wearable devices with edge devices located on the shop floor. An augmented reality platform was constructed with modularized services by using the digital twin of the machine components and machine learning algorithms for object recognition. This is integrated in the factory environment to synchronize real machine components with their digital twin.","","978-1-5386-6531-2","10.1109/ICPHYS.2018.8390796","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8390796","Augmented reality;Smart Factory;Computer vision;Machine Learning;Digital Twin;Edge computing","Smart glasses;Servers;Cameras;Image edge detection;Machine learning algorithms;Production facilities","","13","","13","IEEE","21 Jun 2018","","","IEEE","IEEE Conferences"
"A new approach of designing an intelligent tutoring system based on adaptive workflows and pedagogical games","M. Beyyoudh; M. K. Idrissi; S. Bennani","Research Team on Computer Networks, Modeling and E-Learning (RIME), Laboratory of Modeling, Analysis and Intelligent Systems - MASI Engeneering-3S Research Center, Mohammed Vth University in Rabat Avenue Ibn sina B.P. 765, Agdal, Rabat, Morocco; Research Team on Computer Networks, Modeling and E-Learning (RIME), Laboratory of Modeling, Analysis and Intelligent Systems - MASI Engeneering-3S Research Center, Mohammed Vth University in Rabat Avenue Ibn sina B.P. 765, Agdal, Rabat, Morocco; Research Team on Computer Networks, Modeling and E-Learning (RIME), Laboratory of Modeling, Analysis and Intelligent Systems - MASI Engeneering-3S Research Center, Mohammed Vth University in Rabat Avenue Ibn sina B.P. 765, Agdal, Rabat, Morocco","2018 17th International Conference on Information Technology Based Higher Education and Training (ITHET)","6 Aug 2018","2018","","","1","7","In this article we present our approach of intelligent tutoring systems which is based on adaptive workflows. The main idea is to use workflows for learning and assessment process. In fact, our goal is to have a system that could combine the existence of an intelligent tutor to carry out the tasks of teachers in the teaching process and a human tutor who takes part in the monitoring, control and follow-up of the execution of self-learning processes models in order to check out the learner path and to resolve blocking and demotivating situations of the learners. Our model use parameters provided by the adopted learner model especially, student knowledge and preferences, and teaching domain model to propose the optimal pedagogical workflow for each learner to reach his didactical objective. This pedagogical process will be adapted during its execution in the workflow engine by using some parameters of student interaction with the system. We aim also to make the evaluation process more fun and non-stressful by introducing pedagogical games in assessment process in order to motivate students to learn and make the learning process a mean to succeed the game.","","978-1-5386-4623-6","10.1109/ITHET.2018.8424619","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8424619","Adaptive Workflow;Intelligent Tutoring System;Meta-model of learning process;Assessment;Pedagogical Games","Adaptation models;Object oriented modeling;Task analysis;Games;Unified modeling language;Education;Adaptive systems","","1","","23","IEEE","6 Aug 2018","","","IEEE","IEEE Conferences"
"Discovering Student Behavior Patterns from Event Logs: Preliminary Results on a Novel Probabilistic Latent Variable Model","C. Qiao; X. Hu","Division of Information and Technology Studies, University of Hong Kong, Hong Kong; Division of Information and Technology Studies, University of Hong Kong, Hong Kong","2018 IEEE 18th International Conference on Advanced Learning Technologies (ICALT)","13 Aug 2018","2018","","","207","211","Digital platforms enable the observation of learning behaviors through fine-grained log traces, offering more detailed clues for analysis. In addition to previous descriptive and predictive log analysis, this study aims to simultaneously model learner activities, event time spans, and interaction levels using the proposed Hidden Behavior Traits Model (HBTM). We evaluated model performance and explored their capability of clustering learners on a public dataset, and tried to interpret the machine recognized latent behavior patterns. Quantitative and qualitative results demonstrated the promising value of HBTM. Results of this study can contribute to the literature of online learner modeling and learning service planning.","2161-377X","978-1-5386-6049-2","10.1109/ICALT.2018.00056","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8433494","user model;Latent Dirichlet Allocation;Hidden Behavior Traits Model;event log analysis","Probabilistic logic;Computational modeling;Analytical models;Keyboards;Mathematical model;Adaptation models;Iron","","6","","18","IEEE","13 Aug 2018","","","IEEE","IEEE Conferences"
"Online Tracker Optimization for Multi-Pedestrian Tracking Using a Moving Vehicle Camera","S. J. Kim; J. -Y. Nam; B. C. Ko","Department of Computer Engineering, Keimyung University, Daegu, South Korea; Department of Computer Engineering, Keimyung University, Daegu, South Korea; Department of Computer Engineering, Keimyung University, Daegu, South Korea","IEEE Access","20 Sep 2018","2018","6","","48675","48687","Multi-pedestrian tracking (MPT) on the road is closely related to a reduction in the possibility of pedestrian-vehicle collisions when using advanced driver assistance systems. Therefore, this paper focuses on MPT on real roads using a moving camera. Although convolutional neural network (CNN)-based single object tracking methods have recently been proposed, the online learning of CNN for MPT is a significant burden in terms of real-time processing. However, because the features extracted from CNN are a good representation and achieve a high generalization capability, to reduce the learning time, a shallow pre-trained CNN was applied in the present study as a feature extractor instead of an object tracker As an online tracker, this study uses random ferns (RF) with pre-trained CNN output feature, which can make the problem computationally tractable and robustness. However, a large RF requires significant amount of memory and computational complexity, and is still a burden in terms of online learning in cases of multi-pedestrian tracking. Therefore, we introduce a teacher-student model compression algorithm for selecting a few optimal ferns for each tracker, thereby, reducing the online learning time. The online learning of a student-RF tracker has an advantage in that it can adaptively update the tracker to achieve robustness against various changes, such as in pose and illumination, and partial occlusions within a limited period of time. The proposed algorithm was successfully applied to benchmark video sequences captured from a moving camera that include multiple pedestrians in various poses. Specifically, the proposed algorithm yields a more accurate tracking performance than the other state-of-the-art methods.","2169-3536","","10.1109/ACCESS.2018.2867621","National Research Foundation of Korea; Ministry of Education(grant numbers:2016R1D1A1A09916581); Future Vehicle Leading Technology Development Project; Daegu City(grant numbers:DG-2017-01); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449934","Convolutional neural networks;multiple pedestrian tracking;online learning tracker;random ferns;teacher–student model compression","Cameras;Target tracking;Feature extraction;Roads;Real-time systems;Trajectory","","18","","49","OAPA","29 Aug 2018","","","IEEE","IEEE Journals"
"Sequence Distillation for Purely Sequence Trained Acoustic Models","N. Kanda; Y. Fujita; K. Nagamatsu","Hitachi Ltd., Japan; Hitachi Ltd., Japan; Hitachi Ltd., Japan","2018 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","13 Sep 2018","2018","","","1","5","This paper presents our exploration into teacher-student (TS) training for acoustic models (AMs) based on the lattice-free maximum mutual information technique. Whereas most previous studies of TS training used a frame-level distance between teacher and student models' distributions, we propose using the sequence-level temper-atured Kullback-Leibler divergence as a metric for TS training. In our experiment on the AMI meeting corpus, we prepared a strong teacher model consisting of a convolutional neural network, time delay neural network, and long short-term memory, which had 47.7M parameters and achieved a state-of-the-art word error rate (WER) of 18.05%. Whereas the small student AM (10.8M params. and 19.72% WER) trained by a frame-level TS training was able to fill only 43% of the WER gap between teacher and student AMs, the student AM trained by the proposed method achieved a 18.23% WER, filling 89% of the WER gap from the teacher AM. We also show that the frame-level TS training sometimes even degrades the performance of the student model whereas the proposed method consistently improved the accuracy.","2379-190X","978-1-5386-4658-8","10.1109/ICASSP.2018.8462619","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8462619","Deep learning;acoustic model;distillation;lattice-free MMI","Training;Hidden Markov models;Acoustics;Decoding;Neural networks;Lattices;Mutual information","","4","","27","IEEE","13 Sep 2018","","","IEEE","IEEE Conferences"
"Adversarial Teacher-Student Learning for Unsupervised Domain Adaptation","Z. Meng; J. Li; Y. Gong; B. -H. Juang","Georgia Institute of Technology, Atlanta, GA, USA; Microsoft AI and Research, Redmond, WA, USA; Microsoft AI and Research, Redmond, WA, USA; Georgia Institute of Technology, Atlanta, GA, USA","2018 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","13 Sep 2018","2018","","","5949","5953","The teacher-student (T/S) learning has been shown effective in unsupervised domain adaptation [1]. It is a form of transfer learning, not in terms of the transfer of recognition decisions, but the knowledge of posteriori probabilities in the source domain as evaluated by the teacher model. It learns to handle the speaker and environment variability inherent in and restricted to the speech signal in the target domain without proactively addressing the robustness to other likely conditions. Performance degradation may thus ensue. In this work, we advance T/S learning by proposing adversarial T/S learning to explicitly achieve condition-robust unsupervised domain adaptation. In this method, a student acoustic model and a condition classifier are jointly optimized to minimize the Kullback-Leibler divergence between the output distributions of the teacher and student models, and simultaneously, to min-maximize the condition classification loss. A condition-invariant deep feature is learned in the adapted student model through this procedure. We further propose multi-factorial adversarial T/S learning which suppresses condition variabilities caused by multiple factors simultaneously. Evaluated with the noisy CHiME-3 test set, the proposed methods achieve relative word error rate improvements of 44.60% and 5.38%, respectively, over a clean source model and a strong T/S learning baseline model.","2379-190X","978-1-5386-4658-8","10.1109/ICASSP.2018.8461682","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8461682","teacher-student learning;adversarial training;domain adaptation;parallel unlabeled data","Adaptation models;Data models;Acoustics;Noise measurement;Feature extraction;Training;Robustness","","43","","34","IEEE","13 Sep 2018","","","IEEE","IEEE Conferences"
"A Bayesian Model for Joint Unmixing and Robust Classification of Hyperspectral Images","A. Lagrange; M. Fauvel; S. May; N. Dobigeon","IRIT/INP-ENSEEIHT, University of Toulouse, Toulouse, France; INP-ENSAT, UMR 1201, University of Toulouse, DYNAFOR, France; Centre National d’Études Spatiales (CNES), Toulouse, France; IRIT/INP-ENSEEIHT, University of Toulouse, Toulouse, France","2018 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","13 Sep 2018","2018","","","3399","3403","Supervised classification and spectral unmixing are two methods to extract information from hyperspectral images. However, despite their complementarity, they have been scarcely considered jointly. This paper presents a new hierarchical Bayesian model to perform simultaneously both analysis in order to ensure that they benefit from each other. A linear mixture model is proposed to described the pixel measurements. Then a clustering is performed to identify groups of statistically similar abundance vectors. A Markov random field (MRF) is used as prior for the corresponding cluster labels. It promotes a spatial regularization through a Potts-Markov potential and also includes a local potential induced by the classification. Finally, the classification exploits a set of possibly corrupted labeled data provided by the end-user. Model parameters are estimated thanks to a Markov chain Monte Carlo (MCMC) algorithm. The interest of the proposed model is illustrated on synthetic and real data.","2379-190X","978-1-5386-4658-8","10.1109/ICASSP.2018.8462197","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8462197","Bayesian model;Markov random Field;supervised learning;image interpretation","Hyperspectral imaging;Bayes methods;Clustering algorithms;Robustness;Task analysis;Markov processes","","","","22","IEEE","13 Sep 2018","","","IEEE","IEEE Conferences"
"A New Learner Model in Adaptive Learning System","W. Ding; Z. Zhu; Q. Guo","School of Software & Microelectronics, Peking University, Beijing, China; School of Software & Microelectronics, Peking University, Beijing, China; School of Software & Microelectronics, Peking University, Beijing, China","2018 3rd International Conference on Computer and Communication Systems (ICCCS)","13 Sep 2018","2018","","","440","443","Learner model is the core of adaptive learning system and determines the quality of online teaching. Based on online learning norms and combined with learner characteristics of online learning in China, this paper proposes a new learner model. It includes four basic features: basic information, learning style, knowledge state, and cognitive ability. It gives a formal representation of these four feature elements and a method for initializing and updating the values. Finally, in the “Software Engineering” course adaptive learning system developed on the MoodIe platform, the learner model has good usability and validity.","","978-1-5386-6350-9","10.1109/CCOMS.2018.8463316","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8463316","adaptive learning system;learner model;learning style;knowledge state","Adaptation models;Adaptive learning;Analytical models;Estimation;Standards;Software engineering","","7","","19","IEEE","13 Sep 2018","","","IEEE","IEEE Conferences"
"Deep Stochastic Configuration Networks with Universal Approximation Property","D. Wang; M. Li","Department of Computer Science and Information Technology, La Trobe University, Melbourne, VIC, Australia; Department of Computer Science and Information Technology, La Trobe University, Melbourne, VIC, Australia","2018 International Joint Conference on Neural Networks (IJCNN)","14 Oct 2018","2018","","","1","8","This paper develops a randomized approach for incrementally building deep neural networks, where a superviso- ry mechanism is proposed to constrain the random assignment of the weights and biases, and all the hidden layers have direct links to the output layer. A fundamental result on the universal approximation property is established for such a class of randomized leaner models, namely deep stochastic configuration networks (DeepSCNs)1. A learning algorithm is presented to implement DeepSCNs with either specific architecture or self- organization. The read-out weights attached with all direct links from each hidden layer to the output layer are evaluated by the least squares method. Given a set of training examples, DeepSCNs can speedily produce a learning representation, that is, a collection of random basis functions with the cascaded inputs together with the read-out weights. An empirical demonstration on a function approximation and a case study are carried out to demonstrate some properties of the proposed deep learner model.","2161-4407","978-1-5090-6014-6","10.1109/IJCNN.2018.8489695","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8489695","Deep Learning;Stochastic Configuration Networks;Universal Approximation Property","Computer architecture;Stochastic processes;Buildings;Approximation algorithms;Neural networks;Training;Machine learning","","35","","26","IEEE","14 Oct 2018","","","IEEE","IEEE Conferences"
"From User Models to the Cyber-I Model: Approaches, Progresses and Issues","A. Guo; J. Ma; K. I. -K. Wang","Graduate School of Computer and Information Sciences, Hosei University, Tokyo, Japan; Faculty of Computer and Information Sciences, Hosei University, Tokyo, Japan; Department of Electrical and Computer Engineering, The University of Auckland, Auckland, New Zealand","2018 IEEE 16th Intl Conf on Dependable, Autonomic and Secure Computing, 16th Intl Conf on Pervasive Intelligence and Computing, 4th Intl Conf on Big Data Intelligence and Computing and Cyber Science and Technology Congress(DASC/PiCom/DataCom/CyberSciTech)","28 Oct 2018","2018","","","33","40","A user model is a collection and categorization of personal data associated with a specific user. With the development of personal computers, the usage of the user model has been evolving in the past 40 years. In the early age of the computer, as a part of computer application, one user model could only be used for a single domain, such as the Human-Computer Interaction (HCI) and the education support. With the increase of many different applications, a user model was separated from its specific computer application to support the cross-domain usage for multiple applications. The emergence of the Internet made the user model to be the users' specific representation on a single social platform for the identification by other users. In the foreseeable future, the user model will become a common representation for its user via multiple social platforms. Theoretically, a unique, digital, comprehensive description of every human individual, namely Cyber Individual (Cyber-I) may exist on the Internet. In this paper, we first focus on approaches to build up the Cyber-I model in comparison to the user model, in terms of model representations, architectures of modeling system and modeling techniques. We then summarize our previous works related to Cyber-I modeling, e.g., the personal data collection, the Cyber-I modeling architecture, and the modeling process. Finally, we present major issues that should be solved for the future development of Cyber-I model and modeling.","","978-1-5386-7518-2","10.1109/DASC/PiCom/DataCom/CyberSciTec.2018.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8511864","user model;user modeling;Cyber-I;Cyber-I model;Cyber-I Modeling","Computational modeling;Data models;Human computer interaction;Internet;Microcomputers;Games;Smart phones","","1","","57","IEEE","28 Oct 2018","","","IEEE","IEEE Conferences"
"A User Comfort Model and Index Policy for Personalizing Discrete Controller Decisions","M. Menner; M. N. Zeilinger","Institute for Dynamic Systems and Control, ETH Zurich, Zaurich, Switzerland; Institute for Dynamic Systems and Control, ETH Zurich, Zaurich, Switzerland","2018 European Control Conference (ECC)","29 Nov 2018","2018","","","1759","1765","User feedback allows for tailoring system operation to ensure individual user satisfaction. A major challenge in personalized decision-making is the systematic construction of a user model during operation while maintaining control performance. This paper presents both an index-based control policy to smartly collect and process user feedback and a user comfort model in the form of a Markov decision process with a priori unknown user-specific state transition probabilities. The control policy utilizes explicit user feedback to optimize a reward measure reflecting user comfort and addresses the explorationexploitation trade-off in a multi-armed bandit framework. The proposed approach combines restless bandits and upper confidence bound algorithms. It introduces an exploration term into the restless bandit formulation, utilizes user feedback to identify the user model, and is shown to be indexable. We demonstrate its capabilities with a simulation for learning a user's trade-off between comfort and energy usage.","","978-3-9524-2698-2","10.23919/ECC.2018.8550108","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8550108","","Indexes;Process control;Optimization;Decision making;Computational modeling;Markov processes;Optimal control","","1","","25","","29 Nov 2018","","","IEEE","IEEE Conferences"
"Building Compact CNN-DBLSTM Based Character Models for Handwriting Recognition and OCR by Teacher-Student Learning","H. Ding; K. Chen; W. Hu; M. Cai; Q. Huo","Microsoft Research Asia, Beijing, China; Microsoft Research Asia, Beijing, China; Microsoft Research Asia, Beijing, China; Microsoft Research Asia, Beijing, China; Microsoft Research Asia, Beijing, China","2018 16th International Conference on Frontiers in Handwriting Recognition (ICFHR)","9 Dec 2018","2018","","","139","144","Character models based on convolutional neural network (CNN) and deep bidirectional long short-term memory (DBLSTM) have achieved high recognition accuracy on various handwriting recognition (HWR) and OCR tasks. To deploy CNN-DBLSTM models in products, it is necessary to reduce the footprint and runtime latency as much as possible. In this paper, we use a teacher-student learning approach to achieve this goal, where a new objective function is proposed to match the extracted CNN feature sequences of the teacher and student models under the guidance of the succeeding LSTM layer. Experimental results on large scale English HWR and OCR tasks show that the learned small student model can achieve about 14.6x footprint reduction and 9.6x speedup without recognition accuracy degradation against the big teacher model.","","978-1-5386-5875-8","10.1109/ICFHR-2018.2018.00033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8563240","Teacher Student Learning;CNN DBLSTM;OCR;HWR","Feature extraction;Optical character recognition software;Linear programming;Computational modeling;Task analysis;Decoding;Artificial neural networks","","4","","36","IEEE","9 Dec 2018","","","IEEE","IEEE Conferences"
"Human-Machine Interface for Remote Training of Robot Tasks","J. Spranger; R. Buzatoiu; A. Polydoros; L. Nalpantidis; E. Boukas","Robotics, Vision and Machine Intelligence Lab., Aalborg University Copenhagen, Denmark; Robotics, Vision and Machine Intelligence Lab., Aalborg University Copenhagen, Denmark; Intelligent and Interactive Systems Lab., University of Innsbruck, Innsbruck, Austria; Robotics, Vision and Machine Intelligence Lab., Aalborg University Copenhagen, Denmark; Robotics, Vision and Machine Intelligence Lab., Aalborg University Copenhagen, Denmark","2018 IEEE International Conference on Imaging Systems and Techniques (IST)","16 Dec 2018","2018","","","1","5","Regardless of their industrial or research application, the streamlining of robot operations is limited by the proximity of experienced users to the actual hardware. Be it massive open online robotics courses, crowd-sourcing of robot task training, or remote research on massive robot farms for machine learning, the need to create an apt remote Human-Machine Interface is quite prevalent. The paper at hand proposes a novel solution to the programming/training of remote robots employing an intuitive and accurate user-interface which offers all the benefits of working with real robots without imposing delays and inefficiency. The system includes: a vision-based 3D hand detection and gesture recognition subsystem, a simulated digital twin of a robot as visual feedback, and the “remote” robot learning/executing trajectories using dynamic motion primitives. Our results indicate that the system is a promising solution to the problem of remote training of robot tasks.","1558-2809","978-1-5386-6628-9","10.1109/IST.2018.8577081","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8577081","Human-Machine Interface;Remote Robots;Robot Tasks;Hand Detection;Remote Training;Dynamic Motion Primitives","Trajectory;Robot kinematics;Service robots;Training;Planning;Three-dimensional displays","","2","","32","IEEE","16 Dec 2018","","","IEEE","IEEE Conferences"
"Research on Student Model Construction of Educational Big Data System Based on CD-CAT","Y. ZHAO; Y. FAN; P. WANG","Institute of Computing, Technology of the Chinese, Academy of Sciences, Changchun, CHINA; JiLIin University, Changchun, CHINA; Institute of Computing, Technology of the Chinese, Academy of Sciences, Changchun, CHINA","2018 14th International Conference on Wireless and Mobile Computing, Networking and Communications (WiMob)","27 Dec 2018","2018","","","303","308","The era of ""big data"" technology has penetrated into all areas of society. In the field of education, personalized teaching has gradually become a new development direction. With the widespread promotion of online education, the adaptive learning system has attracted attention because of its good course recommendation function. As an important part of the general model, the student model reflects the individual characteristics, knowledge status and cognitive ability of the students. The traditional student model judges students based solely on the student’s basic information and simple test scores. This paper proposes a CD-CAT hybrid model based on the actual scene of the learner, retains the original static question bank, and dynamically updates the student model based on the test database of the learner’s different knowledge structure. The knowledge field is divided into multiple categories, and the dynamic allocation of the question bank between categories is carried out. After testing, this dynamic model has a good effect.","2160-4886","978-1-5386-6876-4","10.1109/WiMOB.2018.8589101","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8589101","Cognitive Diagnosis Theory;CAT;Adaptive Learning System;Construction of Student Model","Adaptation models;Cats;Computational modeling;Adaptive learning;Data models;Adaptive systems","","","","14","IEEE","27 Dec 2018","","","IEEE","IEEE Conferences"
